Strain	Variant category	Clade	Country	Division	Epidemiological Week	Location	originating_lab	Lineage	Region	submitting_lab	Collection Data	Author	Accession	url
USA/CT-Yale-3601/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	Fairfield	Murphy Medical Association	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-29	GLab team	[object Object]	
USA/CT-Yale-3562/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-05	GLab team	[object Object]	
USA/CT-Yale-3446/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-05	GLab team	[object Object]	
USA/CT-Yale-3707/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-08	GLab team	[object Object]	
USA/CT-Yale-4123/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-18	GLab team	[object Object]	
USA/CT-Yale-4604/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-28	GLab team	[object Object]	
USA/CT-JAX000843/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-06	GLab team	[object Object]	
USA/CT-JAX000658/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-31	GLab team	[object Object]	
USA/CT-Yale-4908/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW19	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-12	GLab team	[object Object]	
USA/CT-Yale-4227/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-21	GLab team	[object Object]	
USA/CT-Yale-4228/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-21	GLab team	[object Object]	
USA/CT-Yale-4141/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-19	GLab team	[object Object]	
USA/CT-Yale-2869/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-21	GLab team	[object Object]	
USA/CT-Yale-2779/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-21	GLab team	[object Object]	
USA/CT-Yale-3078/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-24	GLab team	[object Object]	
USA/CT-Yale-2812/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-21	GLab team	[object Object]	
USA/CT-Yale-2890/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	Middlesex	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-22	GLab team	[object Object]	
USA/CT-Yale-2895/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-22	GLab team	[object Object]	
USA/CT-JAX000962/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-12	GLab team	[object Object]	
USA/CT-Yale-4018/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-Yale-3275/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-28	GLab team	[object Object]	
USA/CT-Yale-3388/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-30	GLab team	[object Object]	
USA/CT-Yale-2820/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-18	GLab team	[object Object]	
USA/CT-Yale-2650/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-17	GLab team	[object Object]	
USA/CT-Yale-3411/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-02	GLab team	[object Object]	
USA/CT-Yale-3779/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-Yale-3628/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-06	GLab team	[object Object]	
USA/CT-Yale-3522/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-05	GLab team	[object Object]	
USA/CT-Yale-3627/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-06	GLab team	[object Object]	
USA/CT-Yale-3523/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-05	GLab team	[object Object]	
USA/CT-Yale-4658/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-01	GLab team	[object Object]	
USA/CT-Yale-4505/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-26	GLab team	[object Object]	
USA/CT-Yale-3224/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-25	GLab team	[object Object]	
USA/CT-Yale-3286/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-28	GLab team	[object Object]	
USA/CT-Yale-3098/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	Middlesex	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-25	GLab team	[object Object]	
USA/CT-Yale-3154/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-26	GLab team	[object Object]	
USA/CT-Yale-4697/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-04	GLab team	[object Object]	
USA/CT-Yale-4913/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW19	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-13	GLab team	[object Object]	
USA/CT-Yale-4912/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW19	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-13	GLab team	[object Object]	
USA/CT-Yale-4688/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-03	GLab team	[object Object]	
USA/CT-Yale-4686/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-03	GLab team	[object Object]	
USA/CT-Yale-4687/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-03	GLab team	[object Object]	
USA/CT-Yale-3821/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-11	GLab team	[object Object]	
USA/CT-Yale-3767/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-08	GLab team	[object Object]	
USA/CT-Yale-3834/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-11	GLab team	[object Object]	
USA/CT-Yale-4845/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-07	GLab team	[object Object]	
USA/CT-JAX000840/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-Yale-4898/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW19	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-11	GLab team	[object Object]	
USA/CT-Yale-4451/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-23	GLab team	[object Object]	
USA/CT-Yale-3577/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-05	GLab team	[object Object]	
USA/CT-JAX001218/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-28	GLab team	[object Object]	
USA/CT-Yale-4341/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-20	GLab team	[object Object]	
USA/CT-Yale-3410/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-02	GLab team	[object Object]	
USA/CT-Yale-4144/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-19	GLab team	[object Object]	
USA/CT-Yale-4113/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	Hartford	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-19	GLab team	[object Object]	
USA/CT-Yale-4315/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-21	GLab team	[object Object]	
USA/CT-Yale-4561/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-27	GLab team	[object Object]	
USA/CT-Yale-3518/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-05	GLab team	[object Object]	
USA/CT-Yale-4883/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW19	New Haven	Yale Pathology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-13	GLab team	[object Object]	
USA/CT-Yale-4670/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-02	GLab team	[object Object]	
USA/CT-JAX001082/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-17	GLab team	[object Object]	
USA/CT-JAX001065/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-17	GLab team	[object Object]	
USA/CT-JAX001035/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-Yale-4048/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-12	GLab team	[object Object]	
USA/CT-JAX000700/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-30	GLab team	[object Object]	
USA/CT-Yale-4023/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-Yale-4463/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-25	GLab team	[object Object]	
USA/MN-Yale-3095/2021	VOC (B.1.1.7)	B.1.1.7	USA-Midwest	Minnesota	2021_EW12	Minnesota	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-24	GLab team	[object Object]	
USA/CT-Yale-4662/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-30	GLab team	[object Object]	
USA/CT-Yale-4702/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-03	GLab team	[object Object]	
USA/CT-Yale-4569/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-27	GLab team	[object Object]	
USA/CT-Yale-4937/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW20	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-16	GLab team	[object Object]	
England/CAMC-B223AA/2020	VOC (B.1.1.7)	B.1.1.7	United Kingdom	England	2020_EW45	England	Lighthouse Lab in Cambridge	B.1.1.7	Northern Europe	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	2020-11-02	Rob Howes et al	[object Object]	
England/ALDP-14996F4/2021	VOC (B.1.1.7)	B.1.1.7	United Kingdom	England	2021_EW12	England	Lighthouse Lab in Alderley Park	B.1.1.7	Northern Europe	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	2021-03-26	Jacquelyn Wynn et al	[object Object]	
England/ALDP-FA26D2/2021	VOC (B.1.1.7)	B.1.1.7	United Kingdom	England	2021_EW01	England	Lighthouse Lab in Alderley Park	B.1.1.7	Northern Europe	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	2021-01-09	Jacquelyn Wynn et al	[object Object]	
USA/CT-Yale-4225/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-21	GLab team	[object Object]	
USA/NY-Yale-4371/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	New York	2021_EW16	Kings	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-22	GLab team	[object Object]	
USA/CT-Yale-4468/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-25	GLab team	[object Object]	
France/BRE-IPP06683/2021	VOC (B.1.1.7)	B.1.1.7	France	France	2021_EW11	France	Labo Analyses Med	B.1.1.7	Western Europe	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	2021-03-16	Marion Barbet et al	[object Object]	
USA/CT-Yale-2724/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-20	GLab team	[object Object]	
USA/CT-Yale-4049/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-12	GLab team	[object Object]	
England/CAMC-B0B222/2020	VOC (B.1.1.7)	B.1.1.7	United Kingdom	England	2020_EW44	England	Lighthouse Lab in Cambridge	B.1.1.7	Northern Europe	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	2020-10-29	Rob Howes et al	[object Object]	
USA/CT-Yale-1227/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW04	Fairfield	Murphy Medical Association	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-01-27	GLab team	[object Object]	
USA/CT-Yale-4877/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW19	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-10	GLab team	[object Object]	
USA/CT-Yale-4627/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New London	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-28	GLab team	[object Object]	
USA/CT-Yale-4927/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW19	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-15	GLab team	[object Object]	
USA/CT-Yale-4616/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-29	GLab team	[object Object]	
USA/CT-Yale-4821/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-06	GLab team	[object Object]	
USA/CT-Yale-3958/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-14	GLab team	[object Object]	
USA/CT-Yale-2695/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	New London	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-18	GLab team	[object Object]	
USA/CT-JAX000870/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	Hartford	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-08	GLab team	[object Object]	
USA/CT-Yale-3639/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-Yale-4387/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-23	GLab team	[object Object]	
USA/CT-Yale-4369/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-23	GLab team	[object Object]	
USA/CT-Yale-4386/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-23	GLab team	[object Object]	
USA/CT-Yale-3893/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-12	GLab team	[object Object]	
USA/CT-Yale-4125/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-17	GLab team	[object Object]	
USA/CT-Yale-3711/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-Yale-4296/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-21	GLab team	[object Object]	
USA/CT-Yale-4667/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-30	GLab team	[object Object]	
USA/CT-Yale-3670/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-JAX001042/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-14	GLab team	[object Object]	
USA/CT-Yale-4497/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-26	GLab team	[object Object]	
USA/CT-JAX000993/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-Yale-4013/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-14	GLab team	[object Object]	
USA/CT-Yale-3959/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-13	GLab team	[object Object]	
USA/CT-JAX001313/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-05	GLab team	[object Object]	
USA/CT-Yale-3261/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-26	GLab team	[object Object]	
USA/CT-JAX001298/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-03	GLab team	[object Object]	
